muestra,t,M 5A,DUT 30A,
18,8938,3.802,88.854,
muestra,t,M 5A,DUT 30A,
2,531,3.427,86.659,
3,1055,2.957,91.525,
4,1581,3.213,139.476,
5,2107,0.597,137.626,
6,2632,0.945,144.181,
7,3157,3.609,147.048,
8,3682,0.422,145.370,
9,4208,3.458,148.678,
10,4733,3.406,207.091,
11,5261,1.887,206.331,
12,5786,3.802,214.182,
13,6312,0.000,190.625,
14,6838,0.844,99.466,
15,7363,2.957,88.420,
16,7887,0.000,88.746,
17,8412,1.336,96.046,
18,8938,0.422,88.488,
19,9462,2.987,89.539,
muestra,t,M 5A,DUT 30A,
2,530,0.000,110.773,
3,1055,0.000,91.023,
4,1581,2.112,142.680,
5,2105,2.112,149.861,
6,2631,0.844,146.380,
7,3156,3.406,148.764,
8,3681,0.000,198.134,
9,4205,2.705,141.482,
10,4732,4.176,96.722,
11,5257,4.025,93.728,
12,5782,1.581,83.909,
13,6311,3.453,94.239,
muestra,t,M 5A,DUT 30A,
2,530,3.707,92.190,
3,1054,3.509,87.323,
4,1579,3.802,144.092,
5,2105,1.579,142.093,
6,2630,1.035,141.323,
7,3154,3.683,138.916,
8,3680,0.422,203.627,
9,4205,3.046,134.164,
10,4730,0.422,91.350,
11,5255,0.731,85.879,
12,5780,4.872,89.071,
13,6306,4.047,90.103,
muestra,t,M 5A,DUT 30A,
2,528,0.732,89.825,
3,1055,0.421,86.623,
4,1581,4.030,144.448,
5,2105,3.848,145.069,
6,2631,3.867,142.566,
7,3156,0.945,144.470,
8,3681,0.000,192.677,
9,4207,3.017,139.815,
10,4734,0.000,89.173,
11,5258,0.000,90.111,
12,5784,2.953,80.566,
13,6311,0.422,88.234,
14,6835,0.597,86.991,
muestra,t,M 5A,DUT 30A,
2,530,0.597,87.101,
3,1055,2.570,91.385,
4,1580,4.224,142.455,
5,2104,0.422,144.648,
6,2631,0.000,139.361,
7,3159,0.845,143.556,
8,3684,0.422,201.079,
9,4211,0.597,139.637,
10,4735,2.570,91.244,
11,5260,0.422,86.250,
12,5785,3.401,94.307,
13,6311,3.755,87.800,
muestra,t,M 5A,DUT 30A,
2,529,0.422,88.056,
3,1058,2.953,94.612,
4,1582,2.314,145.930,
5,2108,0.422,141.913,
6,2635,0.731,149.456,
7,3159,0.845,136.631,
8,3684,1.401,206.423,
9,4211,2.192,144.331,
10,4735,2.987,85.087,
11,5259,3.379,92.711,
12,5785,0.000,85.393,
13,6310,0.597,85.539,
muestra,t,M 5A,DUT 30A,
2,529,0.000,88.420,
3,1056,0.844,87.359,
4,1580,0.732,136.960,
5,2105,0.422,138.754,
6,2630,4.261,140.666,
7,3157,1.579,139.430,
8,3682,0.000,204.500,
9,4207,2.151,133.178,
10,4732,0.845,88.782,
11,5258,2.109,88.705,
12,5786,1.033,85.205,
13,6311,0.845,86.510,
muestra,t,M 5A,DUT 30A,
2,530,3.634,86.026,
3,1054,3.432,95.274,
4,1580,0.943,130.726,
5,2105,0.000,145.158,
6,2630,3.432,141.709,
7,3156,4.505,134.756,
8,3681,0.422,203.634,
9,4207,0.422,141.890,
10,4731,0.000,85.201,
11,5258,1.033,86.807,
12,5782,0.422,89.467,
13,6308,3.453,85.954,
muestra,t,M 5A,DUT 30A,
2,529,2.112,85.689,
3,1055,1.634,85.767,
4,1580,1.401,142.613,
5,2105,4.224,140.754,
6,2631,3.726,146.577,
7,3158,3.802,142.928,
8,3684,1.521,198.851,
9,4210,2.861,148.380,
10,4735,0.945,96.380,
11,5261,1.193,84.677,
12,5787,2.349,85.318,
13,6312,0.000,89.718,
muestra,t,M 5A,DUT 30A,
2,530,1.981,90.537,
3,1054,1.981,88.891,
4,1580,2.192,137.626,
5,2107,3.100,141.868,
6,2631,0.597,145.335,
7,3156,1.195,143.757,
8,3681,3.605,196.321,
9,4208,0.422,141.234,
10,4733,1.035,93.470,
11,5258,1.193,93.076,
12,5783,3.075,90.679,
13,6309,1.399,83.534,
muestra,t,M 5A,DUT 30A,
2,527,0.845,85.876,
3,1053,1.579,88.271,
4,1578,0.000,139.861,
5,2102,0.945,143.152,
6,2628,1.033,143.037,
7,3154,2.499,149.711,
8,3678,1.035,196.784,
9,4204,0.422,164.088,
10,4729,2.770,84.215,
11,5253,3.075,83.024,
12,5779,1.790,82.181,
13,6306,1.739,87.871,
muestra,t,M 5A,DUT 30A,
2,531,0.943,85.130,
3,1055,3.509,89.431,
4,1581,0.597,142.431,
5,2108,2.953,136.880,
6,2632,0.422,139.193,
7,3157,0.945,144.225,
8,3682,1.334,199.028,
9,4209,1.033,141.935,
10,4734,1.792,91.068,
11,5263,1.688,91.058,
12,5788,4.865,89.818,
13,6313,4.266,88.782,
muestra,t,M 5A,DUT 30A,
2,529,3.432,86.026,
3,1056,5.937,94.137,
4,1580,1.035,139.654,
5,2105,0.597,141.641,
6,2630,1.579,144.907,
7,3156,3.432,143.242,
8,3680,3.432,194.997,
9,4206,1.579,155.631,
10,4731,0.845,90.111,
11,5256,1.195,80.828,
12,5781,3.797,92.558,
13,6307,0.597,78.120,
muestra,t,M 5A,DUT 30A,
2,530,1.790,84.563,
3,1054,0.422,92.746,
4,1581,1.887,140.916,
5,2105,4.203,145.047,
6,2632,5.377,138.754,
7,3159,2.460,146.796,
8,3683,0.422,200.118,
9,4208,3.432,152.306,
10,4733,1.887,92.420,
11,5258,0.000,88.710,
12,5784,3.555,85.804,
13,6310,1.634,80.248,
muestra,t,M 5A,DUT 30A,
2,529,3.075,85.652,
3,1055,0.000,94.477,
4,1579,1.336,140.525,
5,2106,1.193,141.574,
6,2630,0.945,137.988,
7,3155,1.742,140.320,
8,3680,3.401,196.615,
9,4207,1.399,146.643,
10,4731,1.267,86.138,
11,5257,1.334,87.212,
12,5783,0.844,83.534,
13,6308,2.705,84.671,
muestra,t,M 5A,DUT 30A,
2,532,1.266,85.879,
3,1058,0.943,89.854,
4,1584,3.935,138.300,
5,2109,5.360,143.913,
6,2635,3.605,142.656,
7,3161,1.033,142.206,
8,3686,3.731,201.015,
9,4211,1.579,151.246,
10,4737,0.597,93.160,
11,5262,0.844,89.425,
12,5788,2.701,85.842,
13,6314,0.000,88.488,
muestra,t,M 5A,DUT 30A,
2,531,1.193,86.363,
3,1055,1.523,83.101,
4,1581,3.349,140.529,
5,2106,0.000,138.870,
6,2632,1.033,141.958,
7,3157,1.118,139.976,
8,3683,1.688,200.823,
9,4209,2.192,148.812,
10,4737,1.033,85.017,
11,5263,3.917,86.138,
12,5787,1.690,84.898,
13,6311,2.987,86.880,
muestra,t,M 5A,DUT 30A,
2,528,3.075,90.146,
3,1054,0.844,96.722,
4,1580,3.161,136.749,
5,2104,0.422,140.503,
6,2630,1.266,139.131,
7,3155,0.845,143.779,
8,3680,0.597,197.371,
9,4206,3.797,145.216,
10,4731,2.069,87.909,
11,5255,2.535,89.359,
12,5781,0.597,87.798,
13,6308,1.739,83.534,
muestra,t,M 5A,DUT 30A,
2,530,2.535,85.314,
3,1055,1.266,96.091,
4,1581,1.979,132.599,
5,2106,4.349,143.846,
6,2633,2.987,142.793,
7,3159,0.422,140.232,
8,3685,1.336,202.654,
9,4209,3.017,140.891,
10,4734,3.609,81.462,
11,5260,4.810,90.032,
12,5786,4.660,89.389,
13,6310,1.690,86.063,
muestra,t,M 5A,DUT 30A,
2,531,0.422,90.316,
3,1055,1.118,93.091,
4,1580,3.609,142.905,
5,2106,3.129,140.004,
6,2632,0.422,141.415,
7,3156,2.987,138.499,
8,3682,0.422,204.976,
9,4209,3.071,138.485,
10,4733,2.463,85.502,
11,5259,3.797,91.233,
12,5785,0.422,89.861,
13,6310,3.401,88.125,
muestra,t,M 5A,DUT 30A,
2,530,0.000,85.050,
3,1055,1.739,91.794,
4,1581,0.000,138.739,
5,2106,0.945,143.287,
6,2632,4.902,144.973,
7,3158,3.349,140.597,
8,3684,2.957,205.346,
9,4208,2.275,161.776,
10,4734,3.401,87.212,
11,5259,0.597,84.936,
12,5783,0.732,86.769,
13,6309,0.422,88.162,
muestra,t,M 5A,DUT 30A,
2,530,1.581,105.725,
3,1056,1.033,99.433,
4,1582,0.943,146.249,
5,2107,0.945,146.106,
6,2632,2.112,146.435,
7,3157,1.634,149.841,
8,3683,0.597,144.892,
9,4211,2.983,146.446,
10,4737,4.847,194.913,
11,5263,1.636,224.691,
12,5787,3.534,189.025,
13,6314,3.721,94.086,
14,6840,1.118,90.892,
15,7364,0.422,93.264,
16,7888,0.945,86.769,
17,8415,0.844,88.089,
18,8939,0.597,89.143,
muestra,t,M 5A,DUT 30A,
2,530,3.530,86.733,
3,1055,1.742,90.715,
4,1580,3.848,146.304,
5,2104,0.945,145.533,
6,2631,4.829,147.014,
7,3155,0.597,146.545,
8,3681,2.601,145.392,
9,4207,1.334,147.036,
10,4733,3.432,186.165,
11,5257,2.235,217.589,
12,5787,3.678,190.894,
13,6311,0.597,89.215,
14,6835,0.000,86.361,
15,7361,3.773,87.322,
16,7887,0.945,85.502,
17,8412,3.185,88.524,
muestra,t,M 5A,DUT 30A,
2,528,3.584,84.100,
3,1055,0.422,88.380,
4,1579,0.732,143.107,
5,2104,1.401,145.533,
6,2630,1.334,147.384,
7,3155,1.195,142.995,
8,3681,1.739,143.283,
9,4207,3.555,144.242,
10,4732,1.336,144.047,
11,5257,0.597,218.223,
12,5783,3.401,225.672,
13,6309,3.458,100.811,
14,6833,0.945,90.289,
15,7359,0.000,93.591,
16,7885,0.422,84.336,
17,8412,2.112,92.953,
muestra,t,M 5A,DUT 30A,
2,530,1.581,86.361,
3,1054,0.422,92.953,
4,1581,1.116,139.200,
5,2105,1.035,146.939,
6,2631,2.953,143.641,
7,3157,0.597,139.820,
8,3682,0.597,141.459,
9,4208,1.266,145.700,
10,4734,4.219,142.858,
11,5260,0.422,217.397,
12,5784,0.422,223.401,
13,6310,2.668,122.737,
14,6835,0.945,92.538,
15,7361,3.797,90.917,
16,7887,3.980,86.991,
17,8413,0.597,85.280,
18,8938,0.597,89.574,
muestra,t,M 5A,DUT 30A,
2,529,0.732,92.538,
3,1056,3.509,92.468,
4,1583,3.129,141.981,
5,2107,0.000,137.895,
6,2631,0.845,146.018,
7,3157,1.399,142.026,
8,3683,0.732,144.047,
9,4207,3.683,144.692,
10,4733,0.597,141.415,
11,5258,1.267,226.811,
12,5783,1.035,212.253,
13,6307,0.945,99.689,
14,6834,0.000,91.198,
15,7358,3.509,89.574,
16,7883,1.336,88.963,
17,8408,0.422,87.943,
18,8933,0.422,88.601,
muestra,t,M 5A,DUT 30A,
2,529,0.422,86.026,
3,1055,0.943,92.420,
4,1579,0.000,136.984,
5,2105,3.013,143.060,
6,2634,2.566,143.641,
7,3159,0.422,142.116,
8,3683,0.945,143.600,
9,4209,3.129,145.172,
10,4734,3.379,140.571,
11,5260,3.157,216.411,
12,5786,3.820,232.015,
13,6311,0.732,124.245,
14,6837,5.419,92.385,
15,7363,3.401,89.281,
16,7888,0.597,83.448,
17,8412,1.195,90.324,
18,8937,1.336,88.420,
muestra,t,M 5A,DUT 30A,
2,530,3.555,87.943,
3,1055,0.597,90.564,
4,1582,0.422,145.458,
5,2106,3.848,141.300,
6,2632,3.042,140.301,
7,3158,0.732,143.935,
8,3682,4.872,145.666,
9,4210,2.635,146.161,
10,4736,1.035,145.666,
11,5260,2.987,211.435,
12,5785,2.195,228.603,
13,6310,1.195,133.540,
14,6835,0.422,93.882,
15,7359,0.732,85.502,
16,7885,3.401,89.925,
17,8410,3.985,86.138,
18,8934,2.535,87.323,
muestra,t,M 5A,DUT 30A,
2,530,0.845,86.843,
3,1055,1.035,92.538,
4,1581,2.892,138.762,
5,2107,1.033,143.328,
6,2632,1.742,145.268,
7,3157,3.797,141.958,
8,3684,4.602,140.438,
9,4209,0.597,140.228,
10,4734,1.033,142.386,
11,5261,0.597,207.214,
12,5788,0.422,213.626,
13,6314,1.334,171.553,
14,6839,3.406,93.950,
15,7365,1.266,89.281,
16,7891,0.597,86.214,
17,8416,3.432,87.836,
18,8941,0.000,89.467,
muestra,t,M 5A,DUT 30A,
2,532,1.033,84.298,
3,1057,3.427,87.138,
4,1582,1.035,141.346,
5,2107,3.100,141.710,
6,2633,0.422,141.777,
7,3157,3.458,143.242,
8,3683,2.232,144.464,
9,4210,0.422,145.898,
10,4735,0.945,143.757,
11,5261,0.597,218.341,
12,5786,2.535,230.227,
13,6311,2.802,119.555,
14,6836,0.422,89.066,
15,7363,0.943,86.363,
16,7890,3.432,88.092,
17,8416,2.023,87.212,
18,8941,0.597,85.502,
muestra,t,M 5A,DUT 30A,
2,530,3.406,88.238,
3,1054,1.267,90.608,
4,1580,0.844,139.062,
5,2106,3.406,139.032,
6,2630,0.597,142.432,
7,3156,1.266,144.619,
8,3681,1.035,143.645,
9,4207,0.943,142.970,
10,4733,3.797,139.062,
11,5258,1.690,209.543,
12,5784,1.266,220.372,
13,6310,3.654,149.027,
14,6835,1.981,94.427,
15,7361,2.601,92.316,
16,7885,0.597,89.107,
17,8412,0.943,88.162,
18,8937,2.154,85.426,
muestra,t,M 5A,DUT 30A,
2,530,0.422,81.633,
3,1055,3.401,90.564,
4,1582,0.597,138.601,
5,2107,1.336,139.216,
6,2632,0.943,145.480,
7,3158,1.463,142.049,
8,3682,2.195,141.845,
9,4208,1.033,145.524,
10,4733,0.945,140.136,
11,5258,2.705,211.981,
12,5783,3.104,222.205,
13,6308,1.841,115.371,
14,6833,3.406,92.225,
15,7357,1.581,90.075,
16,7883,4.198,86.288,
17,8408,2.570,88.673,
18,8932,0.845,87.102,
muestra,t,M 5A,DUT 30A,
2,532,1.033,84.222,
3,1056,3.104,91.420,
4,1584,0.422,139.935,
5,2111,0.000,143.886,
6,2635,3.104,140.251,
7,3161,3.427,142.925,
8,3687,1.579,142.768,
9,4212,1.401,140.388,
10,4738,2.272,141.755,
11,5264,0.422,220.720,
12,5789,0.422,226.571,
13,6315,0.000,112.381,
14,6841,0.597,87.028,
15,7366,2.195,89.467,
16,7891,4.266,85.989,
17,8416,1.461,86.991,
18,8942,3.379,86.621,
muestra,t,M 5A,DUT 30A,
2,531,0.422,87.322,
3,1056,1.336,87.653,
4,1580,1.690,139.309,
5,2106,2.151,140.095,
6,2631,1.742,137.755,
7,3158,0.000,134.260,
8,3684,2.109,135.633,
9,4209,3.217,140.480,
10,4734,4.471,136.819,
11,5260,1.399,185.583,
12,5785,2.987,211.480,
13,6311,2.272,176.832,
14,6837,1.266,96.057,
15,7362,3.432,89.932,
16,7887,3.406,90.573,
17,8411,2.604,85.464,
18,8938,3.375,84.487,
muestra,t,M 5A,DUT 30A,
2,530,0.422,85.954,
3,1055,3.802,91.771,
4,1580,0.422,139.332,
5,2104,0.422,142.635,
6,2631,0.731,148.553,
7,3156,5.556,140.822,
8,3680,3.825,140.388,
9,4206,0.943,146.161,
10,4734,5.310,144.158,
11,5258,3.379,225.476,
12,5784,0.943,232.800,
13,6309,3.609,135.000,
14,6834,0.732,89.467,
15,7359,1.334,91.689,
16,7884,0.845,88.891,
17,8410,0.000,88.886,
18,8935,3.629,85.468,
muestra,t,M 5A,DUT 30A,
2,530,0.945,82.869,
3,1054,3.483,92.607,
4,1580,1.461,140.392,
5,2105,3.509,136.772,
6,2631,3.504,141.529,
7,3155,0.422,143.040,
8,3682,3.071,136.128,
9,4207,1.936,145.842,
10,4731,0.000,145.401,
11,5258,0.597,208.248,
12,5782,0.597,230.729,
13,6308,0.422,112.353,
14,6837,0.422,89.138,
15,7361,3.483,87.543,
16,7885,4.742,87.910,
17,8412,1.032,87.174,
muestra,t,M 5A,DUT 30A,
2,530,1.739,86.991,
3,1055,1.267,91.946,
4,1579,2.463,141.958,
5,2105,1.033,140.575,
6,2630,3.584,142.410,
7,3156,0.597,139.177,
8,3682,0.597,144.995,
9,4207,3.917,145.644,
10,4732,0.000,141.482,
11,5256,2.154,201.095,
12,5783,3.427,219.687,
13,6307,0.422,137.288,
14,6833,3.427,97.185,
15,7360,1.334,90.528,
16,7885,0.000,85.842,
17,8409,3.379,82.946,
18,8939,0.422,85.092,
muestra,t,M 5A,DUT 30A,
2,529,2.987,89.467,
3,1054,1.933,88.633,
4,1580,1.690,137.101,
5,2104,1.267,144.136,
6,2630,0.844,142.970,
7,3155,0.845,139.815,
8,3681,0.844,142.341,
9,4207,4.302,145.590,
10,4732,2.957,139.332,
11,5257,2.275,182.717,
12,5782,4.589,217.928,
13,6309,3.401,159.855,
14,6834,0.422,92.697,
15,7359,0.422,83.832,
16,7885,3.071,93.007,
17,8410,3.075,88.637,
18,8935,0.000,88.380,
muestra,t,M 5A,DUT 30A,
2,530,3.917,83.371,
3,1058,3.530,90.917,
4,1585,0.000,136.481,
5,2109,0.000,139.378,
6,2634,0.000,144.270,
7,3159,0.731,138.901,
8,3686,3.750,141.007,
9,4211,3.379,143.869,
10,4736,0.597,141.052,
11,5263,3.375,209.352,
12,5788,0.422,227.533,
13,6313,0.000,119.188,
14,6840,0.422,92.420,
15,7364,2.195,85.727,
16,7890,0.000,88.597,
17,8415,3.379,89.251,
18,8941,0.597,83.034,
muestra,t,M 5A,DUT 30A,
2,530,2.151,90.493,
3,1056,0.000,92.524,
4,1581,2.705,137.755,
5,2105,0.000,135.995,
6,2634,4.176,140.004,
7,3159,0.422,140.365,
8,3684,1.792,139.562,
9,4209,0.422,136.926,
10,4735,1.581,143.667,
11,5260,1.267,222.926,
12,5786,0.844,216.144,
13,6311,0.422,118.638,
14,6836,3.432,89.179,
15,7361,0.731,90.528,
16,7887,2.987,87.946,
17,8411,3.458,84.747,
18,8935,0.845,82.791,
muestra,t,M 5A,DUT 30A,
2,530,3.504,83.802,
3,1056,3.432,92.711,
4,1580,1.336,138.824,
5,2106,3.375,138.809,
6,2631,0.732,141.890,
7,3157,1.266,145.480,
8,3683,1.334,142.476,
9,4212,0.844,146.665,
10,4737,0.000,143.107,
11,5262,1.033,214.537,
12,5788,0.422,217.279,
13,6313,3.379,130.277,
14,6838,0.597,88.633,
15,7365,0.000,89.568,
16,7889,1.336,87.396,
17,8414,3.963,88.128,
muestra,t,M 5A,DUT 30A,
2,530,1.267,81.501,
3,1054,3.802,104.164,
4,1580,4.792,141.574,
5,2105,3.406,148.461,
6,2631,0.731,142.880,
7,3157,1.193,148.790,
8,3683,3.609,151.163,
9,4207,3.406,145.688,
10,4732,0.945,151.545,
11,5257,0.000,205.331,
12,5782,0.597,235.278,
13,6304,0.000,219.295,
14,6830,0.422,152.910,
15,7355,1.336,95.105,
16,7881,0.422,89.317,
17,8407,4.544,87.907,
18,8932,3.272,83.717,
19,9458,0.000,86.881,
20,9984,4.112,87.285,
21,10509,0.000,90.039,
muestra,t,M 5A,DUT 30A,
2,532,3.975,90.166,
3,1057,0.845,92.085,
4,1581,0.422,139.055,
5,2107,3.401,146.948,
6,2632,0.845,143.802,
7,3158,0.731,142.296,
8,3684,0.422,150.332,
9,4209,1.581,146.830,
10,4735,0.597,145.326,
11,5261,2.109,143.975,
12,5786,0.422,201.908,
13,6311,0.597,221.118,
14,6839,3.629,211.953,
15,7366,3.013,137.720,
16,7891,3.458,89.215,
17,8416,3.797,90.280,
18,8942,1.581,90.785,
19,9466,0.732,86.806,
20,9990,0.422,85.989,
21,10517,0.731,89.639,
muestra,t,M 5A,DUT 30A,
2,532,0.422,86.733,
3,1056,3.458,91.841,
4,1580,1.035,143.399,
5,2106,2.109,142.048,
6,2632,0.732,145.268,
7,3156,2.570,141.323,
8,3682,2.387,147.492,
9,4208,2.112,143.399,
10,4732,2.275,147.680,
11,5258,0.422,146.358,
12,5784,2.604,207.958,
13,6308,0.597,229.738,
14,6836,0.000,227.834,
15,7363,1.334,145.216,
16,7887,4.980,91.981,
17,8414,0.596,91.118,
18,8940,3.559,89.968,
19,9465,1.461,90.032,
20,9989,0.422,89.467,
muestra,t,M 5A,DUT 30A,
2,529,0.000,88.963,
3,1054,3.844,89.209,
4,1579,0.422,141.346,
5,2105,0.000,135.160,
6,2631,3.401,141.075,
7,3156,0.422,141.027,
8,3680,1.523,142.003,
9,4206,0.731,140.027,
10,4732,2.957,145.622,
11,5256,0.597,145.908,
12,5781,2.957,187.746,
13,6307,1.399,228.368,
14,6833,0.422,222.153,
15,7360,1.690,173.057,
16,7887,0.731,95.857,
17,8411,0.597,91.666,
18,8935,3.379,89.789,
19,9463,1.788,86.733,
20,9988,1.742,87.690,
21,10513,3.100,88.125,
muestra,t,M 5A,DUT 30A,
2,529,1.690,82.636,
3,1054,2.067,94.375,
4,1580,0.597,141.187,
5,2105,3.654,145.612,
6,2631,4.810,142.026,
7,3156,0.845,146.786,
8,3682,2.601,143.351,
9,4208,2.272,146.183,
10,4733,1.336,147.485,
11,5258,2.535,147.985,
12,5782,3.634,211.176,
13,6309,0.844,232.291,
14,6833,3.917,225.903,
15,7360,0.422,138.685,
16,7888,2.979,95.669,
17,8412,0.422,92.538,
18,8938,0.844,88.777,
19,9465,3.427,91.759,
20,9989,1.336,83.448,
muestra,t,M 5A,DUT 30A,
2,531,1.577,85.434,
3,1057,4.944,91.911,
4,1582,4.773,141.777,
5,2108,1.521,141.030,
6,2633,0.422,147.811,
7,3159,0.597,146.424,
8,3685,3.401,146.183,
9,4210,4.245,147.637,
10,4735,1.690,146.326,
11,5260,0.845,143.667,
12,5786,1.266,185.911,
13,6311,1.636,220.551,
14,6836,1.195,223.085,
15,7363,1.399,172.837,
16,7889,0.422,93.745,
17,8414,2.195,94.257,
18,8939,0.731,89.996,
19,9465,3.658,89.107,
20,9990,0.731,88.813,
21,10516,0.000,85.804,
muestra,t,M 5A,DUT 30A,
2,531,1.334,86.585,
3,1056,0.422,93.607,
4,1580,0.732,144.292,
5,2106,0.597,144.641,
6,2631,2.672,144.759,
7,3156,3.299,146.786,
8,3682,3.867,145.127,
9,4207,1.401,145.113,
10,4733,1.334,143.216,
11,5259,1.399,149.627,
12,5785,1.636,195.654,
13,6309,1.336,221.713,
14,6835,1.033,225.289,
15,7361,1.336,148.721,
16,7888,3.778,88.274,
17,8413,1.033,91.023,
18,8940,3.935,85.618,
19,9464,0.597,85.989,
muestra,t,M 5A,DUT 30A,
2,531,1.334,88.198,
3,1057,1.033,89.818,
4,1582,1.336,136.302,
5,2107,0.844,141.913,
6,2634,1.266,141.777,
7,3159,3.509,143.623,
8,3684,3.797,139.706,
9,4211,1.979,143.775,
10,4736,1.581,146.370,
11,5260,3.046,145.401,
12,5787,1.521,186.651,
13,6312,2.026,233.593,
14,6836,0.945,221.394,
15,7363,0.731,182.783,
16,7888,3.634,95.912,
17,8413,0.422,94.137,
18,8942,1.116,90.174,
19,9468,1.116,86.028,
20,9993,1.690,86.769,
21,10518,0.597,89.711,
muestra,t,M 5A,DUT 30A,
2,530,0.845,84.481,
3,1054,1.195,92.050,
4,1580,3.013,137.743,
5,2106,2.069,139.585,
6,2630,3.584,144.136,
7,3155,2.154,147.485,
8,3681,2.109,147.492,
9,4206,1.523,147.659,
10,4731,1.267,148.028,
11,5256,0.943,146.621,
12,5782,1.267,212.571,
13,6307,1.267,233.083,
14,6833,3.401,228.788,
15,7358,1.336,135.735,
16,7888,3.013,94.205,
17,8414,1.579,87.505,
18,8943,1.688,91.549,
19,9467,0.422,94.052,
20,9993,1.033,84.753,
muestra,t,M 5A,DUT 30A,
2,529,0.945,85.614,
3,1055,2.767,91.444,
4,1579,0.845,139.838,
5,2106,2.192,148.510,
6,2631,3.353,144.848,
7,3155,0.732,145.423,
8,3681,1.193,145.568,
9,4206,0.422,147.963,
10,4732,3.726,143.373,
11,5258,0.597,142.948,
12,5784,4.944,203.666,
13,6308,3.406,230.506,
14,6834,0.844,230.810,
15,7360,3.707,128.815,
16,7884,4.510,97.408,
17,8408,4.224,90.715,
18,8935,1.193,90.245,
19,9463,1.521,88.307,
20,9988,0.422,88.056,
muestra,t,M 5A,DUT 30A,
2,530,1.792,86.287,
3,1055,1.979,92.003,
4,1582,1.334,142.678,
5,2106,3.509,143.332,
6,2632,3.241,144.353,
7,3158,1.266,144.995,
8,3683,3.432,144.514,
9,4209,2.311,145.194,
10,4735,0.422,142.476,
11,5260,0.732,148.093,
12,5785,3.731,196.048,
13,6311,0.000,223.748,
14,6837,2.112,211.723,
15,7362,0.422,182.993,
16,7888,4.773,92.385,
17,8413,1.035,90.715,
18,8939,0.422,92.142,
19,9464,0.732,88.891,
20,9991,3.104,90.004,
21,10516,1.336,82.012,
muestra,t,M 5A,DUT 30A,
2,530,1.841,83.794,
3,1054,1.035,88.891,
4,1580,1.790,141.121,
5,2105,0.945,145.069,
6,2631,0.731,144.752,
7,3157,2.601,146.555,
8,3682,0.597,145.974,
9,4207,1.523,148.569,
10,4732,2.311,142.768,
11,5259,0.844,147.297,
12,5784,1.401,208.236,
13,6309,0.597,231.987,
14,6835,1.035,220.245,
15,7359,0.732,149.066,
16,7883,2.275,94.801,
17,8410,2.531,91.479,
18,8934,1.336,89.682,
19,9459,1.523,85.689,
20,9995,0.000,86.400,
21,10520,4.660,84.904,
muestra,t,M 5A,DUT 30A,
2,529,2.499,84.823,
3,1055,0.844,95.522,
4,1581,1.579,139.407,
5,2106,1.267,143.063,
6,2630,1.267,145.644,
7,3155,1.267,147.048,
8,3682,1.461,148.876,
9,4206,1.035,146.106,
10,4731,0.732,145.467,
11,5256,3.071,148.337,
12,5782,1.267,187.883,
13,6306,1.523,220.623,
14,6832,1.839,218.898,
15,7358,1.463,154.961,
16,7883,0.731,93.591,
17,8409,1.979,89.818,
18,8935,1.887,87.980,
19,9459,0.732,86.473,
20,9985,0.422,87.101,
21,10513,3.634,86.361,
muestra,t,M 5A,DUT 30A,
2,531,3.013,88.452,
3,1057,1.979,88.416,
4,1582,3.509,144.181,
5,2107,1.688,145.260,
6,2634,0.000,143.127,
7,3159,3.245,148.375,
8,3684,1.033,145.348,
9,4211,3.654,145.898,
10,4736,1.035,143.600,
11,5261,0.597,148.337,
12,5787,3.161,192.076,
13,6312,4.835,219.412,
14,6838,0.597,228.620,
15,7363,3.917,180.738,
16,7888,1.742,94.970,
17,8413,1.839,93.214,
18,8939,2.570,88.782,
19,9464,0.000,87.469,
20,9989,3.133,86.436,
21,10516,3.683,87.800,
muestra,t,M 5A,DUT 30A,
2,530,1.033,81.437,
3,1056,0.000,92.676,
4,1580,3.707,142.116,
5,2104,0.732,144.203,
6,2631,3.605,145.590,
7,3156,3.755,144.670,
8,3680,0.000,144.737,
9,4206,1.688,144.818,
10,4731,0.000,143.040,
11,5257,0.422,147.558,
12,5783,2.311,190.625,
13,6309,5.139,224.892,
14,6833,2.069,223.157,
15,7359,0.844,166.703,
16,7886,0.422,93.007,
17,8410,0.597,93.539,
18,8936,1.033,89.925,
19,9461,0.422,88.565,
20,9986,0.845,95.105,
21,10514,1.521,85.092,
muestra,t,M 5A,DUT 30A,
2,530,3.453,88.994,
3,1055,0.945,92.120,
4,1580,4.962,142.162,
5,2106,0.597,145.282,
6,2631,0.422,144.603,
7,3156,5.884,142.184,
8,3680,3.825,144.203,
9,4207,1.266,141.913,
10,4732,3.272,143.040,
11,5256,0.845,146.435,
12,5782,0.597,199.189,
13,6308,3.272,220.186,
14,6832,1.401,227.815,
15,7358,3.605,178.203,
16,7883,2.570,91.174,
17,8409,0.422,92.800,
18,8935,1.688,88.162,
19,9460,1.742,88.238,
20,9986,0.844,86.288,
21,10515,0.942,89.597,
muestra,t,M 5A,DUT 30A,
2,531,1.266,88.561,
3,1057,1.461,91.479,
4,1581,1.401,143.779,
5,2108,3.629,142.409,
6,2634,1.461,144.552,
7,3159,0.422,143.556,
8,3684,0.844,144.840,
9,4210,0.597,143.399,
10,4734,3.963,141.754,
11,5260,2.387,149.456,
12,5786,0.732,208.174,
13,6310,0.422,222.941,
14,6836,3.580,220.357,
15,7363,0.731,154.204,
