muestra,t,M 5A,DUT 30A,
2,609,1.118,87.028,
3,1158,1.841,99.172,
4,1707,2.738,129.188,
5,2256,1.267,128.039,
6,2805,1.033,124.345,
7,3355,2.566,126.034,
8,3905,1.266,146.315,
9,4453,0.000,197.338,
10,5002,2.427,124.581,
11,5551,2.112,85.951,
12,6100,3.401,90.387,
13,6650,4.344,81.986,
muestra,t,M 5A,DUT 30A,
2,552,0.422,83.419,
3,1100,2.834,93.057,
4,1648,1.267,127.813,
5,2196,1.889,127.511,
6,2745,1.033,126.339,
7,3294,3.895,125.634,
8,3844,1.266,137.743,
9,4392,1.933,195.618,
10,4958,3.844,132.744,
11,5508,2.109,84.753,
12,6057,0.731,84.412,
13,6605,0.000,94.087,
14,7155,4.090,86.065,
muestra,t,M 5A,DUT 30A,
2,551,0.945,89.932,
3,1101,2.601,91.794,
4,1651,0.422,122.711,
5,2201,4.344,124.113,
6,2750,0.422,115.594,
7,3298,0.422,122.422,
8,3848,2.734,151.669,
9,4396,4.430,202.416,
10,4946,0.943,125.448,
11,5495,0.845,85.125,
12,6043,0.000,85.280,
13,6592,3.797,83.457,
14,7140,3.379,86.398,
muestra,t,M 5A,DUT 30A,
2,553,2.460,78.594,
3,1118,0.597,93.933,
4,1645,1.193,125.576,
5,2169,1.521,123.050,
6,2692,1.581,119.850,
7,3215,0.422,122.238,
8,3737,0.945,127.436,
9,4262,2.109,196.289,
10,4784,0.945,173.742,
11,5307,0.845,87.836,
12,5830,2.272,85.393,
13,6355,3.797,83.111,
14,6877,0.597,83.602,
15,7399,0.845,84.898,
muestra,t,M 5A,DUT 30A,
2,526,3.940,85.802,
3,1048,0.422,89.539,
4,1571,4.117,126.449,
5,2094,4.025,121.557,
6,2619,0.844,118.703,
7,3142,4.052,123.805,
8,3664,3.917,126.551,
9,4192,1.266,189.242,
10,4715,0.597,190.069,
11,5238,1.636,88.165,
12,5761,1.033,89.711,
13,6285,1.690,84.785,
14,6808,1.266,85.505,
15,7331,3.161,85.426,
muestra,t,M 5A,DUT 30A,
2,526,1.266,85.580,
3,1049,0.000,89.789,
4,1571,2.154,123.675,
5,2095,3.844,125.397,
6,2620,1.334,125.320,
7,3142,1.336,124.504,
8,3665,1.336,127.133,
9,4188,3.773,183.849,
10,4712,1.463,174.535,
11,5235,0.422,96.646,
12,5757,0.732,87.543,
13,6281,1.739,84.145,
14,6804,3.825,84.861,
15,7326,1.267,82.908,
muestra,t,M 5A,DUT 30A,
2,531,0.000,81.672,
3,1053,1.401,89.251,
4,1577,3.504,119.510,
5,2101,1.334,121.055,
6,2624,2.604,124.607,
7,3147,0.732,121.870,
8,3669,1.523,126.016,
9,4193,0.844,160.356,
10,4716,0.945,181.429,
11,5240,1.579,154.515,
12,5763,1.035,85.238,
13,6286,0.943,86.511,
14,6810,1.267,87.617,
15,7333,0.597,83.457,
muestra,t,M 5A,DUT 30A,
2,525,1.267,81.422,
3,1049,2.192,87.212,
4,1572,2.604,123.909,
5,2095,1.267,122.658,
6,2617,4.510,125.710,
7,3143,0.000,124.834,
8,3666,0.000,131.480,
9,4190,0.000,191.714,
10,4713,3.104,188.753,
11,5236,2.387,84.450,
12,5759,0.732,85.050,
13,6283,3.702,84.563,
14,6805,0.000,91.490,
15,7331,0.942,85.097,
muestra,t,M 5A,DUT 30A,
2,526,1.521,88.380,
3,1049,1.336,94.359,
4,1573,0.422,124.628,
5,2096,2.154,127.133,
6,2620,1.521,128.626,
7,3143,1.581,128.640,
8,3665,2.112,126.271,
9,4189,3.980,200.088,
10,4712,1.195,174.830,
11,5236,4.002,90.776,
12,5758,1.267,86.658,
13,6284,4.002,85.205,
14,6809,0.597,87.028,
15,7331,4.030,90.395,
muestra,t,M 5A,DUT 30A,
2,525,0.422,86.880,
3,1050,2.496,87.688,
4,1572,3.895,127.662,
5,2095,4.451,126.220,
6,2617,0.422,123.259,
7,3142,4.025,125.729,
8,3664,1.636,129.288,
9,4187,1.035,186.803,
10,4710,0.422,186.324,
11,5235,1.193,91.198,
12,5758,3.848,89.754,
13,6281,1.790,83.304,
14,6805,1.688,90.351,
15,7328,2.672,82.597,
muestra,t,M 5A,DUT 30A,
2,525,0.422,84.062,
3,1047,4.685,90.466,
4,1571,1.399,121.873,
5,2097,1.792,119.877,
6,2619,0.845,116.783,
7,3141,1.035,120.064,
8,3665,0.597,125.907,
9,4189,0.845,183.296,
10,4711,1.336,192.610,
11,5233,0.422,92.746,
12,5757,2.531,81.515,
13,6280,1.463,83.947,
14,6802,1.581,80.070,
15,7325,1.523,89.789,
muestra,t,M 5A,DUT 30A,
2,526,0.597,86.917,
3,1050,3.867,93.728,
4,1573,1.581,127.964,
5,2095,1.581,124.168,
6,2619,4.002,119.564,
7,3143,5.386,127.122,
8,3666,3.895,126.067,
9,4188,2.390,193.691,
10,4711,3.509,180.702,
11,5238,1.334,88.705,
12,5761,4.344,89.996,
13,6283,1.336,88.963,
14,6807,1.579,84.450,
15,7332,1.688,83.726,
muestra,t,M 5A,DUT 30A,
2,525,2.112,81.737,
3,1049,2.830,86.622,
4,1572,1.336,132.768,
5,2095,0.945,122.632,
6,2618,0.943,125.499,
7,3142,3.453,124.397,
8,3665,2.275,126.424,
9,4188,4.117,188.037,
10,4710,0.422,174.811,
11,5234,4.002,87.834,
12,5757,4.308,88.528,
13,6279,0.422,82.830,
14,6803,1.266,84.145,
15,7327,0.000,87.395,
muestra,t,M 5A,DUT 30A,
2,528,0.422,86.101,
3,1050,0.945,90.111,
4,1574,3.504,124.628,
5,2097,1.936,125.582,
6,2620,1.581,126.042,
7,3143,2.154,122.133,
8,3666,4.485,125.754,
9,4191,0.943,200.232,
10,4714,3.917,180.968,
11,5236,0.845,90.253,
12,5760,3.427,89.460,
13,6283,2.987,86.621,
14,6806,1.267,85.276,
15,7329,3.349,83.534,
muestra,t,M 5A,DUT 30A,
2,525,3.609,82.051,
3,1048,1.336,89.143,
4,1570,1.523,119.931,
5,2094,0.000,129.073,
6,2617,1.195,125.863,
7,3140,2.987,124.452,
8,3662,0.845,121.474,
9,4188,3.375,181.657,
10,4712,1.336,181.500,
11,5234,0.000,90.146,
12,5756,0.597,87.360,
13,6280,0.943,82.142,
14,6803,1.195,89.287,
15,7327,1.334,83.150,
muestra,t,M 5A,DUT 30A,
2,526,3.844,83.917,
3,1049,1.581,89.467,
4,1571,4.160,125.121,
5,2095,3.629,123.128,
6,2619,0.422,130.799,
7,3142,1.523,130.622,
8,3666,1.193,130.308,
9,4189,0.945,192.193,
10,4714,1.334,179.529,
11,5237,3.013,88.922,
12,5760,2.987,82.403,
13,6283,1.266,87.432,
14,6806,4.096,86.991,
15,7331,1.636,85.238,
muestra,t,M 5A,DUT 30A,
2,526,1.266,84.941,
3,1049,1.267,87.690,
4,1572,1.742,125.634,
5,2094,0.422,121.103,
6,2618,2.151,122.894,
7,3141,4.490,121.050,
8,3665,0.422,125.141,
9,4188,1.267,189.585,
10,4712,3.750,176.741,
11,5236,2.109,91.898,
12,5758,3.802,88.201,
13,6282,0.000,81.437,
14,6805,5.174,84.176,
15,7329,1.579,85.054,
muestra,t,M 5A,DUT 30A,
2,527,0.943,84.563,
3,1049,4.030,84.024,
4,1572,1.035,125.634,
5,2095,1.266,122.554,
6,2618,1.334,122.946,
7,3140,1.523,125.838,
8,3664,4.002,126.466,
9,4188,0.000,186.410,
10,4711,3.634,175.673,
11,5235,0.597,91.339,
12,5758,3.406,84.329,
13,6281,3.100,87.101,
14,6804,1.792,85.050,
15,7328,0.943,84.107,
muestra,t,M 5A,DUT 30A,
2,526,2.983,87.761,
3,1049,0.000,89.861,
4,1571,1.267,125.198,
5,2095,2.635,124.035,
6,2619,3.479,124.010,
7,3142,1.267,126.474,
8,3665,1.581,125.965,
9,4187,3.825,185.405,
10,4711,0.731,190.810,
11,5234,1.690,86.954,
12,5758,3.427,82.686,
13,6284,4.544,84.525,
14,6807,1.523,84.405,
15,7331,1.193,84.146,
muestra,t,M 5A,DUT 30A,
2,525,1.792,85.802,
3,1049,1.033,89.782,
4,1572,1.981,119.662,
5,2095,4.704,132.138,
6,2617,3.534,123.986,
7,3141,0.000,126.465,
8,3664,3.609,128.415,
9,4187,4.761,190.075,
10,4709,0.000,188.753,
11,5234,3.820,90.635,
12,5756,1.690,86.361,
13,6280,0.000,83.188,
14,6804,1.521,81.868,
15,7328,1.790,81.790,
muestra,t,M 5A,DUT 30A,
2,526,4.524,90.245,
3,1051,1.790,93.967,
4,1577,0.731,120.365,
5,2100,4.349,121.712,
6,2624,1.334,121.029,
7,3147,2.314,126.525,
8,3669,0.597,127.133,
9,4192,0.000,123.155,
10,4716,2.349,122.737,
11,5240,3.844,126.693,
12,5763,1.401,128.540,
13,6286,2.349,205.366,
14,6811,5.436,188.359,
15,7334,2.427,197.273,
16,7856,2.535,114.785,
17,8380,1.266,91.198,
18,8903,3.534,89.395,
19,9426,0.945,86.991,
20,9949,2.109,81.397,
21,10473,2.983,85.916,
muestra,t,M 5A,DUT 30A,
2,526,4.025,84.979,
3,1049,3.584,91.631,
4,1574,2.154,124.658,
5,2097,1.401,126.880,
6,2620,4.002,120.870,
7,3144,1.690,119.474,
8,3666,0.945,125.070,
9,4188,0.422,127.939,
10,4713,1.790,124.731,
11,5235,4.779,128.815,
12,5759,3.820,184.874,
13,6283,4.344,185.618,
14,6806,0.422,192.793,
15,7329,3.731,163.297,
16,7852,1.116,96.987,
17,8376,1.334,87.138,
18,8899,1.523,94.155,
19,9421,2.957,90.253,
20,9945,3.401,85.505,
muestra,t,M 5A,DUT 30A,
2,524,3.483,87.249,
3,1049,2.531,91.549,
4,1571,3.189,121.659,
5,2096,1.981,122.998,
6,2620,2.953,125.805,
7,3143,4.410,119.421,
8,3665,4.007,123.831,
9,4189,0.422,128.277,
10,4713,3.890,130.013,
11,5236,4.926,123.857,
12,5759,3.483,175.307,
13,6281,2.112,209.297,
14,6805,4.155,203.076,
15,7328,1.690,171.153,
16,7851,2.069,83.909,
17,8374,0.422,91.374,
18,8899,0.422,87.761,
19,9422,2.601,86.363,
20,9944,0.845,86.063,
21,10467,4.245,88.782,
muestra,t,M 5A,DUT 30A,
2,526,3.844,82.841,
3,1050,6.657,92.800,
4,1574,4.198,118.460,
5,2099,2.427,121.050,
6,2622,1.792,125.634,
7,3145,3.958,122.371,
8,3669,0.000,126.753,
9,4191,3.534,129.808,
10,4714,1.523,131.358,
11,5238,1.334,126.794,
12,5761,0.597,180.453,
13,6283,1.336,194.568,
14,6807,3.980,193.527,
15,7331,3.778,148.310,
16,7853,2.865,94.495,
17,8375,0.597,90.644,
18,8900,3.209,92.648,
19,9424,4.685,82.946,
20,9947,0.943,87.907,
muestra,t,M 5A,DUT 30A,
2,524,2.154,86.584,
3,1048,3.322,89.604,
4,1571,4.666,119.259,
5,2095,2.311,127.575,
6,2620,1.523,119.904,
7,3144,1.399,121.081,
8,3667,1.981,125.557,
9,4189,2.865,122.344,
10,4713,0.597,130.284,
11,5238,0.597,117.646,
12,5760,1.401,173.724,
13,6283,1.267,204.720,
14,6807,1.266,187.763,
15,7330,0.597,164.258,
16,7854,1.334,92.003,
17,8377,0.422,88.746,
18,8900,1.688,85.954,
19,9424,2.499,84.861,
20,9947,1.790,90.564,
muestra,t,M 5A,DUT 30A,
2,525,1.267,83.448,
3,1048,0.844,84.336,
4,1572,5.310,121.368,
5,2095,0.731,125.346,
6,2619,3.935,118.730,
7,3142,0.597,120.731,
8,3667,4.471,125.940,
9,4189,0.597,125.940,
10,4713,4.198,122.214,
11,5237,0.845,124.400,
12,5759,1.889,180.524,
13,6282,0.845,198.878,
14,6806,0.731,204.929,
15,7329,1.742,164.102,
16,7852,6.280,96.912,
17,8374,2.275,91.103,
18,8898,1.193,87.651,
19,9421,0.000,92.780,
20,9943,3.379,92.607,
muestra,t,M 5A,DUT 30A,
2,524,3.458,88.274,
3,1048,0.731,92.973,
4,1572,3.013,122.476,
5,2095,0.732,128.565,
6,2618,1.742,126.804,
7,3141,1.266,124.397,
8,3665,0.422,130.062,
9,4191,3.848,128.640,
10,4713,1.463,124.374,
11,5236,0.945,127.964,
12,5760,3.555,184.839,
13,6283,0.845,188.889,
14,6806,1.936,192.643,
15,7329,4.069,148.661,
16,7854,0.943,98.006,
17,8376,2.987,92.015,
18,8900,4.025,85.092,
19,9424,0.000,87.175,
20,9947,1.118,88.963,
muestra,t,M 5A,DUT 30A,
2,525,0.597,87.543,
3,1049,5.252,90.174,
4,1572,3.609,122.133,
5,2096,1.033,116.359,
6,2619,0.845,121.606,
7,3142,0.000,125.983,
8,3666,1.742,121.289,
9,4188,0.732,129.362,
10,4714,0.597,125.371,
11,5239,1.334,128.999,
12,5762,0.422,164.805,
13,6284,5.869,175.233,
14,6808,3.797,183.640,
15,7332,3.802,186.113,
16,7854,0.945,158.871,
17,8378,0.943,91.198,
18,8901,4.425,91.759,
19,9426,1.399,89.996,
20,9949,0.597,88.710,
21,10472,3.890,86.474,
muestra,t,M 5A,DUT 30A,
2,526,0.597,79.847,
3,1051,2.232,87.688,
4,1577,0.422,123.597,
5,2101,0.844,123.440,
6,2625,0.597,126.643,
7,3148,3.483,120.758,
8,3671,5.393,128.615,
9,4194,0.422,126.668,
10,4721,0.422,123.673,
11,5244,2.154,123.285,
12,5766,0.597,181.447,
13,6290,0.597,191.112,
14,6814,0.000,209.359,
15,7336,0.597,152.643,
16,7859,0.945,90.324,
17,8382,0.422,90.280,
18,8906,1.267,95.442,
19,9429,0.422,87.871,
20,9951,5.139,87.910,
muestra,t,M 5A,DUT 30A,
2,526,0.000,85.580,
3,1049,0.597,95.375,
4,1572,0.597,124.632,
5,2094,0.945,125.914,
6,2618,0.000,124.500,
7,3141,3.985,131.138,
8,3665,4.047,123.673,
9,4187,3.075,132.162,
10,4711,0.422,131.044,
11,5238,5.386,124.139,
12,5760,3.848,180.471,
13,6284,3.241,195.618,
14,6809,0.731,200.200,
15,7331,0.845,158.446,
16,7854,3.406,99.689,
17,8377,0.000,90.422,
18,8900,1.118,90.146,
19,9424,1.033,84.525,
20,9946,0.597,86.361,
muestra,t,M 5A,DUT 30A,
2,524,0.422,90.289,
3,1049,0.844,91.128,
4,1571,5.139,128.140,
5,2094,3.559,126.880,
6,2617,1.461,127.651,
7,3142,4.025,122.293,
8,3664,1.118,124.142,
9,4187,0.422,125.018,
10,4710,3.605,128.949,
11,5234,1.336,125.557,
12,5759,5.410,184.258,
13,6281,1.035,202.432,
14,6805,0.844,196.810,
15,7328,0.422,172.592,
16,7851,4.798,93.298,
17,8373,3.406,89.323,
18,8897,0.422,89.102,
19,9421,5.436,86.400,
20,9943,0.597,88.274,
muestra,t,M 5A,DUT 30A,
2,524,0.422,85.087,
3,1046,2.535,87.102,
4,1570,0.422,122.293,
5,2094,0.422,123.986,
6,2616,3.872,123.909,
7,3138,0.422,124.632,
8,3662,0.422,122.319,
9,4185,0.000,126.449,
10,4708,0.422,127.662,
11,5230,5.104,118.014,
12,5754,1.033,167.375,
13,6280,4.007,196.195,
14,6802,0.422,205.472,
15,7325,0.422,161.498,
16,7848,0.000,91.549,
17,8372,3.299,93.022,
18,8895,2.953,86.696,
19,9418,4.224,87.507,
20,9942,0.000,91.339,
muestra,t,M 5A,DUT 30A,
2,526,6.136,80.709,
3,1048,3.825,89.825,
4,1571,2.957,121.923,
5,2094,3.479,126.643,
6,2619,3.820,125.729,
7,3142,0.000,125.326,
8,3665,0.844,124.962,
9,4190,0.422,124.936,
10,4712,0.000,125.634,
11,5236,4.025,119.430,
12,5760,0.422,179.082,
13,6283,0.000,200.631,
14,6808,0.845,194.782,
15,7332,3.890,166.703,
16,7857,4.810,100.778,
17,8379,4.816,88.637,
18,8901,0.000,86.991,
19,9425,3.504,87.871,
20,9950,4.323,86.991,
muestra,t,M 5A,DUT 30A,
2,525,4.182,85.012,
3,1048,1.399,91.198,
4,1572,1.792,121.395,
5,2094,4.980,121.448,
6,2617,0.422,125.608,
7,3140,0.731,127.173,
8,3665,1.334,125.423,
9,4188,3.634,126.627,
10,4711,0.943,125.525,
11,5236,3.401,127.223,
12,5759,0.422,183.226,
13,6281,1.690,199.797,
14,6805,1.739,196.908,
15,7332,2.109,150.545,
16,7855,1.267,88.128,
17,8378,1.033,84.412,
18,8903,1.033,85.054,
19,9425,2.738,87.249,
20,9949,0.943,85.430,
muestra,t,M 5A,DUT 30A,
2,527,4.002,87.212,
3,1049,3.634,86.212,
4,1573,1.521,112.324,
5,2096,3.683,122.998,
6,2620,3.427,125.805,
7,3143,0.845,125.557,
8,3666,1.266,122.371,
9,4190,1.690,128.340,
10,4712,3.634,127.461,
11,5235,2.195,122.448,
12,5758,0.844,153.496,
13,6283,4.176,203.564,
14,6806,4.471,193.376,
15,7329,1.889,183.033,
16,7854,3.406,93.298,
17,8377,3.609,91.385,
18,8899,0.945,87.028,
19,9423,0.000,88.125,
20,9946,1.035,85.201,
21,10468,2.865,86.250,
muestra,t,M 5A,DUT 30A,
2,525,1.981,85.876,
3,1050,2.023,85.767,
4,1572,0.945,124.761,
5,2095,0.422,125.352,
6,2618,1.033,111.292,
7,3143,3.797,120.045,
8,3666,5.122,121.130,
9,4188,0.845,123.701,
10,4712,5.517,125.167,
11,5235,0.945,122.475,
12,5758,4.182,135.924,
13,6280,3.825,186.027,
14,6804,3.375,198.092,
15,7329,4.425,199.205,
16,7849,4.030,96.547,
17,8372,4.589,87.836,
18,8895,1.266,85.954,
19,9420,1.334,87.395,
20,9942,1.742,85.238,
21,10465,0.945,87.433,
muestra,t,M 5A,DUT 30A,
2,524,1.336,85.839,
3,1048,1.739,90.351,
4,1571,1.792,119.555,
5,2095,3.580,128.725,
6,2618,3.104,122.894,
7,3141,1.193,122.083,
8,3665,0.845,120.838,
9,4187,2.195,125.121,
10,4710,2.154,124.684,
11,5233,2.232,120.949,
12,5758,3.797,166.049,
13,6281,5.410,196.506,
14,6803,1.336,206.734,
15,7328,0.422,177.284,
16,7853,3.075,92.746,
17,8375,2.834,91.279,
18,8900,0.843,88.593,
19,9424,0.845,84.329,
20,9947,1.399,88.633,
muestra,t,M 5A,DUT 30A,
2,527,1.332,83.121,
3,1050,1.401,87.580,
4,1574,1.334,119.054,
5,2097,3.584,122.475,
6,2620,3.530,120.764,
7,3145,1.266,125.269,
8,3667,1.636,122.370,
9,4190,3.917,124.012,
10,4714,1.634,127.726,
11,5237,0.422,126.271,
12,5760,3.825,162.647,
13,6282,1.401,202.432,
14,6806,3.268,184.805,
15,7331,0.422,182.045,
16,7853,1.401,95.476,
17,8377,1.933,87.871,
18,8904,1.688,86.511,
19,9426,1.581,90.111,
20,9949,0.422,88.092,
muestra,t,M 5A,DUT 30A,
2,525,3.609,84.176,
3,1047,4.030,91.631,
4,1571,3.185,120.684,
5,2094,0.945,122.370,
6,2617,1.336,121.183,
7,3139,5.492,122.841,
8,3663,0.000,121.161,
9,4186,1.336,123.389,
10,4708,0.945,118.286,
11,5232,3.605,122.188,
12,5757,1.033,155.074,
13,6279,1.035,199.620,
14,6802,1.267,198.636,
15,7326,4.112,191.195,
16,7850,0.000,95.957,
17,8372,1.336,89.574,
18,8895,0.422,87.507,
19,9421,1.033,87.028,
20,9945,0.422,83.802,
muestra,t,M 5A,DUT 30A,
2,526,1.739,85.468,
3,1050,1.267,91.103,
4,1573,1.334,93.111,
5,2096,2.069,117.823,
6,2620,0.422,122.240,
7,3143,4.139,122.763,
8,3665,1.636,118.719,
9,4188,0.845,122.186,
10,4712,2.192,125.013,
11,5235,0.597,122.841,
12,5758,3.479,122.345,
13,6282,0.422,195.504,
14,6806,6.122,199.797,
15,7328,2.314,202.194,
16,7850,0.945,155.685,
17,8374,4.112,88.777,
18,8897,1.267,86.175,
19,9420,0.597,85.802,
20,9944,0.000,87.873,
21,10468,1.887,86.696,
muestra,t,M 5A,DUT 30A,
2,526,1.634,89.102,
3,1051,1.521,104.093,
4,1574,0.844,120.578,
5,2097,0.422,97.474,
6,2620,1.033,92.628,
7,3144,0.000,119.743,
8,3667,0.597,124.936,
9,4190,3.406,119.259,
10,4713,0.844,127.022,
11,5238,3.427,124.216,
12,5761,3.483,128.340,
13,6284,0.422,124.834,
14,6809,1.334,121.240,
15,7331,1.636,124.064,
16,7855,3.375,124.165,
17,8379,0.731,122.789,
18,8902,3.872,123.909,
19,9425,1.267,178.898,
20,9951,1.266,203.202,
21,10475,1.033,202.697,
22,10999,1.118,204.892,
23,11521,0.000,199.395,
24,12045,0.844,118.135,
25,12570,4.002,91.654,
26,13092,3.825,92.294,
27,13614,3.609,84.936,
28,14138,2.983,90.209,
29,14663,2.983,86.622,
30,15185,1.118,85.238,
muestra,t,M 5A,DUT 30A,
2,527,0.943,83.764,
3,1049,0.000,91.420,
4,1572,1.336,117.987,
5,2095,0.597,121.978,
6,2620,0.844,127.751,
7,3142,0.422,127.688,
8,3666,3.530,128.576,
9,4191,0.943,127.550,
10,4713,1.267,125.403,
11,5238,0.945,123.597,
12,5762,0.597,126.339,
13,6285,0.732,124.941,
14,6809,3.504,124.577,
15,7331,0.000,170.909,
16,7855,1.688,197.768,
17,8379,3.458,187.643,
18,8902,0.845,190.565,
19,9424,0.845,207.602,
20,9949,2.460,127.097,
21,10471,2.154,91.385,
22,10994,4.245,94.393,
23,11517,2.701,89.996,
24,12041,0.945,85.951,
25,12564,1.839,87.761,
26,13087,0.000,89.574,
muestra,t,M 5A,DUT 30A,
2,526,1.193,83.955,
3,1049,1.690,91.315,
4,1573,0.731,121.029,
5,2098,3.379,124.064,
6,2622,2.531,123.596,
7,3145,3.802,120.864,
8,3668,3.406,124.452,
9,4191,2.531,124.113,
10,4716,1.266,123.362,
11,5238,0.000,125.198,
12,5761,4.490,123.467,
13,6284,3.504,123.596,
14,6809,0.844,129.643,
15,7332,4.980,152.748,
16,7854,4.471,189.466,
17,8378,3.935,182.221,
18,8902,2.154,180.257,
19,9424,1.889,198.312,
20,9948,8.595,157.310,
21,10472,0.731,86.881,
22,10995,1.523,89.143,
23,11518,1.690,87.653,
24,12040,2.896,87.286,
25,12565,3.071,87.285,
26,13089,1.523,86.695,
muestra,t,M 5A,DUT 30A,
2,526,3.797,86.028,
3,1051,4.344,88.922,
4,1574,0.000,121.741,
5,2097,1.401,129.213,
6,2620,0.844,124.757,
7,3145,0.000,122.685,
8,3667,1.523,123.467,
9,4191,2.192,124.500,
10,4715,2.151,126.060,
11,5238,4.074,123.883,
12,5762,0.597,125.244,
13,6285,4.030,126.525,
14,6808,1.266,127.776,
15,7332,1.336,163.749,
16,7854,1.267,194.006,
17,8377,3.075,184.188,
18,8902,0.000,194.666,
19,9424,0.422,201.318,
20,9947,3.104,163.297,
21,10473,1.688,94.748,
22,10996,3.985,90.750,
23,11519,0.000,88.854,
24,12042,0.844,89.604,
25,12566,0.943,86.214,
26,13089,0.597,85.539,
muestra,t,M 5A,DUT 30A,
2,527,1.979,86.028,
3,1051,1.033,93.659,
4,1573,0.422,123.076,
5,2097,1.033,128.002,
6,2621,3.379,125.914,
7,3143,3.917,124.038,
8,3666,3.432,124.710,
9,4189,1.521,126.516,
10,4714,4.025,124.834,
11,5237,1.841,127.637,
12,5759,1.792,125.761,
13,6283,0.422,126.971,
14,6806,1.401,127.209,
15,7330,1.979,163.050,
16,7856,0.000,206.191,
17,8381,0.597,198.367,
18,8904,0.422,196.980,
19,9426,1.792,191.002,
20,9950,2.109,136.128,
21,10473,4.074,92.919,
22,10995,1.636,83.487,
23,11519,1.193,88.162,
24,12043,1.116,84.866,
25,12567,1.579,82.995,
muestra,t,M 5A,DUT 30A,
2,527,3.890,83.802,
3,1053,3.379,90.146,
4,1578,4.558,125.620,
5,2102,0.000,125.634,
6,2624,1.463,122.763,
7,3146,0.597,122.684,
8,3670,0.000,123.673,
9,4193,3.299,123.986,
10,4716,0.845,122.160,
11,5238,0.000,128.340,
12,5764,0.943,124.216,
13,6287,0.945,123.207,
14,6810,2.705,119.097,
15,7332,3.634,141.437,
16,7857,0.731,191.229,
17,8379,0.597,194.022,
18,8902,4.007,196.425,
19,9425,1.399,197.914,
20,9950,1.579,177.410,
21,10473,1.118,92.572,
22,10996,0.000,93.110,
23,11520,1.399,86.881,
24,12044,4.344,85.842,
25,12567,1.195,85.201,
26,13090,1.579,85.991,
muestra,t,M 5A,DUT 30A,
2,526,3.375,85.991,
3,1049,3.483,91.490,
4,1572,3.848,123.831,
5,2094,1.035,121.448,
6,2620,3.844,119.295,
7,3143,3.379,122.920,
8,3666,5.104,123.285,
9,4188,3.406,122.867,
10,4712,1.790,124.551,
11,5236,1.267,123.883,
12,5758,1.463,121.949,
13,6281,1.195,123.571,
14,6805,1.193,122.476,
15,7329,1.193,157.838,
16,7852,3.075,196.833,
17,8376,3.750,197.184,
18,8899,1.690,200.967,
19,9422,0.422,197.826,
20,9944,0.422,152.475,
21,10469,2.528,92.510,
22,10993,0.945,89.107,
23,11515,2.987,87.653,
24,12037,0.732,87.946,
25,12561,3.071,86.103,
26,13084,0.422,87.983,
muestra,t,M 5A,DUT 30A,
2,524,3.895,83.985,
3,1048,0.844,91.269,
4,1572,1.193,122.293,
5,2095,1.195,124.710,
6,2618,4.370,121.844,
7,3140,3.104,123.519,
8,3664,0.000,124.705,
9,4187,0.422,123.649,
10,4709,0.845,122.763,
11,5233,5.098,121.002,
12,5757,1.461,124.680,
13,6280,0.945,125.991,
14,6804,3.726,128.949,
15,7327,0.845,150.011,
16,7852,0.000,199.012,
17,8374,1.523,191.120,
18,8897,0.945,196.849,
19,9420,0.844,197.298,
20,9944,3.483,168.467,
21,10467,1.742,94.087,
22,10991,0.945,91.033,
23,11516,1.788,85.209,
24,12040,0.845,87.983,
25,12562,0.000,85.502,
26,13084,3.046,84.823,
muestra,t,M 5A,DUT 30A,
2,526,0.597,82.830,
3,1048,1.792,89.789,
4,1572,0.597,122.476,
5,2096,2.531,124.422,
6,2619,3.379,125.838,
7,3143,3.071,128.202,
8,3666,1.336,124.735,
9,4189,0.597,123.958,
10,4714,0.731,125.550,
11,5237,1.523,125.940,
12,5760,3.797,125.881,
13,6285,1.739,127.399,
14,6808,0.000,126.627,
15,7331,3.890,148.294,
16,7855,0.943,198.302,
17,8381,0.000,196.326,
18,8904,0.422,200.599,
19,9426,4.490,205.815,
20,9951,1.266,154.432,
21,10473,1.523,90.324,
22,10997,0.422,91.163,
23,11521,3.427,86.770,
24,12044,3.432,87.946,
25,12567,0.422,85.876,
muestra,t,M 5A,DUT 30A,
2,526,1.887,85.017,
3,1050,2.983,87.980,
4,1573,1.401,122.028,
5,2096,1.936,125.121,
6,2618,0.597,127.587,
7,3142,3.375,125.218,
8,3665,0.597,126.322,
9,4188,0.845,127.335,
10,4710,0.945,128.190,
11,5235,1.790,124.397,
12,5758,1.195,125.198,
13,6283,3.483,124.349,
14,6806,1.033,126.617,
15,7331,1.521,144.840,
16,7854,0.597,202.384,
17,8376,3.895,196.425,
18,8900,0.844,196.387,
19,9424,3.584,196.882,
20,9946,0.422,180.435,
21,10470,1.033,91.304,
22,10995,0.000,91.829,
23,11517,3.825,89.467,
24,12039,0.422,86.398,
25,12563,3.555,87.469,
26,13088,4.047,85.954,
27,13610,0.597,86.361,
muestra,t,M 5A,DUT 30A,
2,526,2.531,85.842,
3,1051,3.504,86.251,
4,1573,0.000,124.142,
5,2096,2.535,126.931,
6,2622,0.731,125.932,
7,3145,1.523,126.601,
8,3667,0.945,125.121,
9,4191,2.272,128.725,
10,4715,3.375,124.345,
11,5238,1.035,123.207,
12,5762,2.192,124.474,
13,6285,2.802,128.790,
14,6808,3.797,126.313,
15,7333,0.943,148.359,
16,7856,0.845,192.159,
17,8379,2.953,197.574,
18,8903,2.570,191.758,
19,9426,3.379,193.376,
20,9948,0.000,174.019,
