NT5NA30 ; 53.258239746093750000, 52.339355468750000000, 0.000000000000000000, 0.000000000000000000,  1517.32 
NT5NA30 ; 55.733703613281250000, 54.770935058593750000, 0.000000000000000000, 0.000000000000000000,  1607.93 
NT5NA30 ; 53.849853515625000000, 52.935668945312500000, 0.000000000000000000, 0.000000000000000000,  1531.14 
NT5NA30 ; 53.602539062500000000, 52.711669921875000000, 0.000000000000000000, 0.000000000000000000,  1515.53 
NT5NA30 ; 54.979553222656250000, 54.023071289062500000, 0.000000000000000000, 0.000000000000000000,  1550.22 
NT5NA30 ; 55.472961425781250000, 54.512878417968750000, 0.000000000000000000, 0.000000000000000000,  1605.9 
NT5NA30 ; 54.390014648437500000, 53.481567382812500000, 0.000000000000000000, 0.000000000000000000,  1542.69 
NT5NA30 ; 55.943298339843750000, 54.999816894531250000, 0.000000000000000000, 0.000000000000000000,  1579.97 
NT5NA30 ; 53.880981445312500000, 52.957519531250000000, 0.000000000000000000, 0.000000000000000000,  1517.43 
NT5NA30 ; 54.003540039062500000, 53.088012695312500000, 0.000000000000000000, 0.000000000000000000,  1518.8 
NT5NA30 ; 65.451843261718750000, 64.249694824218750000, 0.000000000000000000, 0.000000000000000000,  2043.42 
NT5NA30 ; 63.352478027343750000, 62.238159179687500000, 0.000000000000000000, 0.000000000000000000,  1911.73 
NT5NA30 ; 63.588684082031250000, 62.431335449218750000, 0.000000000000000000, 0.000000000000000000,  1908.25 
NT5NA30 ; 63.781250000000000000, 62.652038574218750000, 0.000000000000000000, 0.000000000000000000,  1909.2 
NT5NA30 ; 64.840454101562500000, 63.681091308593750000, 0.000000000000000000, 0.000000000000000000,  1960.13 
NT5NA30 ; 63.190612792968750000, 62.054748535156250000, 0.000000000000000000, 0.000000000000000000,  1914.01 
NT5NA30 ; 63.367004394531250000, 62.210327148437500000, 0.000000000000000000, 0.000000000000000000,  1911.36 
NT5NA30 ; 63.661865234375000000, 62.527343750000000000, 0.000000000000000000, 0.000000000000000000,  1919.36 
NT5NA30 ; 66.012756347656250000, 64.832397460937500000, 0.000000000000000000, 0.000000000000000000,  1981.81 
NT5NA30 ; 64.642883300781250000, 63.478149414062500000, 0.000000000000000000, 0.000000000000000000,  1961.98 
NT5NA30 ; 64.606506347656250000, 63.427551269531250000, 0.000000000000000000, 0.000000000000000000,  2016.09 
NT5NA30 ; 63.372985839843750000, 62.213256835937500000, 0.000000000000000000, 0.000000000000000000,  1920.34 
NT5NA30 ; 65.248962402343750000, 64.084350585937500000, 0.000000000000000000, 0.000000000000000000,  1987.51 
NT5NA30 ; 63.308044433593750000, 62.177001953125000000, 0.000000000000000000, 0.000000000000000000,  1906.08 
NT5NA30 ; 63.994018554687500000, 62.853637695312500000, 0.000000000000000000, 0.000000000000000000,  1911.91 
NT5NA30 ; 64.763305664062500000, 63.582946777343750000, 0.000000000000000000, 0.000000000000000000,  1942.11 
NT5NA30 ; 64.857666015625000000, 63.722167968750000000, 0.000000000000000000, 0.000000000000000000,  1945.73 
NT5NA30 ; 63.914855957031250000, 62.760742187500000000, 0.000000000000000000, 0.000000000000000000,  1906.17 
NT5NA30 ; 64.112792968750000000, 62.979064941406250000, 0.000000000000000000, 0.000000000000000000,  1926.52 
NT5NA30 ; 64.311828613281250000, 63.161987304687500000, 0.000000000000000000, 0.000000000000000000,  1923.75 
NT5NA30 ; 62.857604980468750000, 61.721374511718750000, 0.000000000000000000, 0.000000000000000000,  1939.24 
NT5NA30 ; 63.161315917968750000, 62.008056640625000000, 0.000000000000000000, 0.000000000000000000,  1912.39 
NT5NA30 ; 64.288269042968750000, 63.157287597656250000, 0.000000000000000000, 0.000000000000000000,  1911.2 
NT5NA30 ; 63.781066894531250000, 62.635131835937500000, 0.000000000000000000, 0.000000000000000000,  1906.64 
NT5NA30 ; 63.972473144531250000, 62.844177246093750000, 0.000000000000000000, 0.000000000000000000,  1917.47 
NT5NA30 ; 67.456237792968750000, 66.232238769531250000, 0.000000000000000000, 0.000000000000000000,  2067.07 
NT5NA30 ; 64.224975585937500000, 63.099121093750000000, 0.000000000000000000, 0.000000000000000000,  1923.73 
NT5NA30 ; 63.540222167968750000, 62.381896972656250000, 0.000000000000000000, 0.000000000000000000,  1912.3 
NT5NA30 ; 64.590393066406250000, 63.464477539062500000, 0.000000000000000000, 0.000000000000000000,  1933.72 
NT5NA30 ; 64.192565917968750000, 63.042602539062500000, 0.000000000000000000, 0.000000000000000000,  1920.69 
NT5NA30 ; 63.286926269531250000, 62.132873535156250000, 0.000000000000000000, 0.000000000000000000,  1931.55 
NT5NA30 ; 63.109985351562500000, 61.968505859375000000, 0.000000000000000000, 0.000000000000000000,  1911.83 
NT5NA30 ; 64.146972656250000000, 63.018676757812500000, 0.000000000000000000, 0.000000000000000000,  1912.33 
NT5NA30 ; 63.265808105468750000, 62.144653320312500000, 0.000000000000000000, 0.000000000000000000,  1907.52 
NT5NA30 ; 63.627685546875000000, 62.497985839843750000, 0.000000000000000000, 0.000000000000000000,  1918.43 
NT5NA30 ; 65.567016601562500000, 64.419921875000000000, 0.000000000000000000, 0.000000000000000000,  1954.44 
NT5NA30 ; 65.003479003906250000, 63.858032226562500000, 0.000000000000000000, 0.000000000000000000,  1927.11 
NT5NA30 ; 64.484130859375000000, 63.361572265625000000, 0.000000000000000000, 0.000000000000000000,  1912.59 
NT5NA30 ; 65.876281738281250000, 64.694458007812500000, 0.000000000000000000, 0.000000000000000000,  1964.45 
NT5NA30 ; 64.457885742187500000, 63.333190917968750000, 0.000000000000000000, 0.000000000000000000,  1915.42 
