NT30NA60 ; 311.288879394531250000, 303.344299316406250000, 0.000000000000000000, 0.000000000000000000,  13952.2 
NT30NA60 ; 318.760925292968750000, 310.897644042968750000, 0.000000000000000000, 0.000000000000000000,  13812.8 
NT30NA60 ; 316.373535156250000000, 307.454589843750000000, 0.000000000000000000, 0.000000000000000000,  15715.7 
NT30NA60 ; 322.326416015625000000, 314.494201660156250000, 0.000000000000000000, 0.000000000000000000,  13774.3 
NT30NA60 ; 309.105285644531250000, 301.170166015625000000, 0.000000000000000000, 0.000000000000000000,  13960 
NT30NA60 ; 312.653320312500000000, 301.941894531250000000, 0.000000000000000000, 0.000000000000000000,  18926.8 
NT30NA60 ; 305.169067382812500000, 297.304077148437500000, 0.000000000000000000, 0.000000000000000000,  13845.2 
NT30NA60 ; 308.455139160156250000, 300.394409179687500000, 0.000000000000000000, 0.000000000000000000,  14125.1 
NT30NA60 ; 328.564086914062500000, 319.982116699218750000, 0.000000000000000000, 0.000000000000000000,  15134.3 
NT30NA60 ; 328.691101074218750000, 320.601806640625000000, 0.000000000000000000, 0.000000000000000000,  14206.9 
NT30NA60 ; 323.367004394531250000, 315.276062011718750000, 0.000000000000000000, 0.000000000000000000,  14235.8 
NT30NA60 ; 312.703735351562500000, 304.519958496093750000, 0.000000000000000000, 0.000000000000000000,  14371.5 
NT30NA60 ; 315.658142089843750000, 306.054443359375000000, 0.000000000000000000, 0.000000000000000000,  16972.4 
NT30NA60 ; 309.664245605468750000, 301.368286132812500000, 0.000000000000000000, 0.000000000000000000,  14578.6 
NT30NA60 ; 308.886230468750000000, 299.983825683593750000, 0.000000000000000000, 0.000000000000000000,  15692.4 
NT30NA60 ; 315.764526367187500000, 306.150207519531250000, 0.000000000000000000, 0.000000000000000000,  17008.4 
NT30NA60 ; 317.252441406250000000, 308.878601074218750000, 0.000000000000000000, 0.000000000000000000,  14714.7 
NT30NA60 ; 313.459228515625000000, 303.968200683593750000, 0.000000000000000000, 0.000000000000000000,  16745.9 
NT30NA60 ; 313.240600585937500000, 304.871643066406250000, 0.000000000000000000, 0.000000000000000000,  14717.1 
NT30NA60 ; 312.892150878906250000, 304.557128906250000000, 0.000000000000000000, 0.000000000000000000,  14633.3 
NT30NA60 ; 322.931335449218750000, 314.527526855468750000, 0.000000000000000000, 0.000000000000000000,  14811.4 
NT30NA60 ; 332.507507324218750000, 324.140563964843750000, 0.000000000000000000, 0.000000000000000000,  14694.5 
NT30NA60 ; 321.494995117187500000, 311.892578125000000000, 0.000000000000000000, 0.000000000000000000,  16912.3 
NT30NA60 ; 311.179199218750000000, 302.808837890625000000, 0.000000000000000000, 0.000000000000000000,  14759.5 
NT30NA60 ; 316.844299316406250000, 306.992614746093750000, 0.000000000000000000, 0.000000000000000000,  17390.8 
NT30NA60 ; 322.420104980468750000, 314.094909667968750000, 0.000000000000000000, 0.000000000000000000,  14604.3 
NT30NA60 ; 325.838439941406250000, 317.235839843750000000, 0.000000000000000000, 0.000000000000000000,  15182.6 
NT30NA60 ; 334.871215820312500000, 325.086181640625000000, 0.000000000000000000, 0.000000000000000000,  17280.8 
NT30NA60 ; 313.410644531250000000, 305.045593261718750000, 0.000000000000000000, 0.000000000000000000,  14704.8 
NT30NA60 ; 317.135864257812500000, 307.243896484375000000, 0.000000000000000000, 0.000000000000000000,  17445.6 
NT30NA60 ; 319.645324707031250000, 311.217834472656250000, 0.000000000000000000, 0.000000000000000000,  14825.8 
NT30NA60 ; 334.607299804687500000, 325.458007812500000000, 0.000000000000000000, 0.000000000000000000,  16122.1 
NT30NA60 ; 320.339599609375000000, 311.946289062500000000, 0.000000000000000000, 0.000000000000000000,  14793.3 
NT30NA60 ; 324.309814453125000000, 315.183105468750000000, 0.000000000000000000, 0.000000000000000000,  16085.8 
NT30NA60 ; 315.486999511718750000, 306.969360351562500000, 0.000000000000000000, 0.000000000000000000,  14966.5 
NT30NA60 ; 311.228515625000000000, 302.855712890625000000, 0.000000000000000000, 0.000000000000000000,  14731.9 
NT30NA60 ; 327.910339355468750000, 318.532104492187500000, 0.000000000000000000, 0.000000000000000000,  16541.8 
NT30NA60 ; 333.789794921875000000, 325.424987792968750000, 0.000000000000000000, 0.000000000000000000,  14724 
NT30NA60 ; 333.595214843750000000, 325.166809082031250000, 0.000000000000000000, 0.000000000000000000,  14790.3 
NT30NA60 ; 325.246704101562500000, 315.261413574218750000, 0.000000000000000000, 0.000000000000000000,  17655.2 
NT30NA60 ; 308.702575683593750000, 300.342956542968750000, 0.000000000000000000, 0.000000000000000000,  14731.3 
NT30NA60 ; 318.436401367187500000, 309.222595214843750000, 0.000000000000000000, 0.000000000000000000,  16256 
NT30NA60 ; 311.431030273437500000, 303.093383789062500000, 0.000000000000000000, 0.000000000000000000,  14644.4 
NT30NA60 ; 309.653015136718750000, 299.507995605468750000, 0.000000000000000000, 0.000000000000000000,  17942.4 
NT30NA60 ; 313.339172363281250000, 304.975646972656250000, 0.000000000000000000, 0.000000000000000000,  14729.1 
NT30NA60 ; 314.033691406250000000, 304.993041992187500000, 0.000000000000000000, 0.000000000000000000,  15913.7 
NT30NA60 ; 334.171936035156250000, 324.517944335937500000, 0.000000000000000000, 0.000000000000000000,  17019.5 
NT30NA60 ; 335.918701171875000000, 327.467224121093750000, 0.000000000000000000, 0.000000000000000000,  14843.6 
NT30NA60 ; 322.174621582031250000, 312.465942382812500000, 0.000000000000000000, 0.000000000000000000,  17168.5 
NT30NA60 ; 330.587158203125000000, 322.265502929687500000, 0.000000000000000000, 0.000000000000000000,  14601.4 
